Ubigeo,Distrito,Provincia,Departamento,Superficie
010101,Chachapoyas,Chachapoyas,Amazonas,153.78
010102,Asuncion,Chachapoyas,Amazonas,25.71
010103,Balsas,Chachapoyas,Amazonas,357.09
010104,Cheto,Chachapoyas,Amazonas,56.97
010105,Chiliquin,Chachapoyas,Amazonas,143.43
010106,Chuquibamba,Chachapoyas,Amazonas,278.63
010107,Granada,Chachapoyas,Amazonas,181.41
010108,Huancas,Chachapoyas,Amazonas,48.79
010109,La Jalca,Chachapoyas,Amazonas,380.39
010110,Leimebamba,Chachapoyas,Amazonas,373.14
010111,Levanto,Chachapoyas,Amazonas,77.54
010112,Magdalena,Chachapoyas,Amazonas,135.47
010113,Mariscal Castilla,Chachapoyas,Amazonas,83.58
010114,Molinopampa,Chachapoyas,Amazonas,333.86
010115,Montevideo,Chachapoyas,Amazonas,119.01
010116,Olleros,Chachapoyas,Amazonas,125.16
010117,Quinjalca,Chachapoyas,Amazonas,91.59
010118,San Francisco de Daguas,Chachapoyas,Amazonas,47.41
010119,San Isidro de Maino,Chachapoyas,Amazonas,101.67
010120,Soloco,Chachapoyas,Amazonas,84.48
010121,Sonche,Chachapoyas,Amazonas,113.26
010201,Bagua,Bagua,Amazonas,150.99
010202,Aramango,Bagua,Amazonas,809.07
010203,Copallin,Bagua,Amazonas,99.05
010204,El Parco,Bagua,Amazonas,18.48
010205,Imaza,Bagua,Amazonas,4430.84
010206,La Peca,Bagua,Amazonas,144.29
010301,Jumbilla,Bongara,Amazonas,154.18
010302,Chisquilla,Bongara,Amazonas,174.96
010303,Churuja,Bongara,Amazonas,33.34
010304,Corosha,Bongara,Amazonas,45.67
010305,Cuispes,Bongara,Amazonas,110.72
010306,Florida,Bongara,Amazonas,203.22
010307,Jazan,Bongara,Amazonas,88.83
010308,Recta,Bongara,Amazonas,24.58
010309,San Carlos,Bongara,Amazonas,100.76
010310,Shipasbamba,Bongara,Amazonas,127.29
010311,Valera,Bongara,Amazonas,90.14
010312,Yambrasbamba,Bongara,Amazonas,1715.96
010401,Nieva,Condorcanqui,Amazonas,4481.63
010402,El Cenepa,Condorcanqui,Amazonas,5458.48
010403,Rio Santiago,Condorcanqui,Amazonas,8035.28
010501,Lamud,Luya,Amazonas,69.49
010502,Camporredondo,Luya,Amazonas,376.01
010503,Cocabamba,Luya,Amazonas,355.85
010504,Colcamar,Luya,Amazonas,106.6
010505,Conila,Luya,Amazonas,256.17
010506,Inguilpata,Luya,Amazonas,118.04
010507,Longuita,Luya,Amazonas,57.91
010508,Lonya Chico,Luya,Amazonas,83.82
010509,Luya,Luya,Amazonas,91.21
010510,Luya Viejo,Luya,Amazonas,73.87
010511,Maria,Luya,Amazonas,80.27
010512,Ocalli,Luya,Amazonas,177.39
010513,Ocumal,Luya,Amazonas,235.86
010514,Pisuquia,Luya,Amazonas,306.5
010515,Providencia,Luya,Amazonas,71.22
