UBIGEO,DEPARTAMENTIO,PROVINCIA,DISTRITOS,HOMBRES,MUJERES
010101,Amazonas,Chachapoyas,Chachapoyas,11202,12737
010102,Amazonas,Chachapoyas,Asunci�n,141,148
010103,Amazonas,Chachapoyas,Balsas,751,650
010104,Amazonas,Chachapoyas,Cheto,298,284
010105,Amazonas,Chachapoyas,Chiliquin,442,409
010106,Amazonas,Chachapoyas,Chuquibamba,1103,971
010107,Amazonas,Chachapoyas,Granada,209,217
010108,Amazonas,Chachapoyas,Huancas,581,228
010109,Amazonas,Chachapoyas,La Jalca,2596,2748
010110,Amazonas,Chachapoyas,Leimebamba,2047,1871
010111,Amazonas,Chachapoyas,Levanto,481,464
010112,Amazonas,Chachapoyas,Magdalena,429,451
010113,Amazonas,Chachapoyas,Mariscal Castilla,559,573
010114,Amazonas,Chachapoyas,Molinopampa,1236,1265
010115,Amazonas,Chachapoyas,Montevideo,345,346
010116,Amazonas,Chachapoyas,Olleros,160,195
010117,Amazonas,Chachapoyas,Quinjalca,433,501
010118,Amazonas,Chachapoyas,San Francisco de Daguas,154,148
010119,Amazonas,Chachapoyas,San Isidro de Maino,386,300
010120,Amazonas,Chachapoyas,Soloco,761,652
010121,Amazonas,Chachapoyas,Sonche,119,109
010201,Amazonas,Bagua,La Peca,15822,15684
010202,Amazonas,Bagua,Aramango,6141,5301
010203,Amazonas,Bagua,Copallin,3226,2900
010204,Amazonas,Bagua,El Parco,688,586
010205,Amazonas,Bagua,Imaza,10836,10573
010301,Amazonas,Bongara,Jumbilla,740,829
010302,Amazonas,Bongara,Chisquilla,163,183
010303,Amazonas,Bongara,Churuja,149,123
010304,Amazonas,Bongara,Corosha,381,331
010305,Amazonas,Bongara,Cuispes,391,391
010306,Amazonas,Bongara,Florida,3217,2982
010307,Amazonas,Bongara,Jazan,4289,4043
010308,Amazonas,Bongara,Recta,127,104
010309,Amazonas,Bongara,San Carlos,182,185
010310,Amazonas,Bongara,Shipasbamba,719,631
010311,Amazonas,Bongara,Valera,679,583
010312,Amazonas,Bongara,Yambrasbamba,3111,2932
010401,Amazonas,Condorcanqui,Nieva,11365,10827
010402,Amazonas,Condorcanqui,El Cenepa,4271,4242
010403,Amazonas,Condorcanqui,Rio Santiago,6170,6436
010501,Amazonas,Luya,Lamud,1084,1235
010502,Amazonas,Luya,Camporredondo,3169,2907
010503,Amazonas,Luya,Cocabamba,1203,1037
010504,Amazonas,Luya,Colcamar,1184,1211
010505,Amazonas,Luya,Conila,1020,1013
010506,Amazonas,Luya,Inguilpata,355,339
010507,Amazonas,Luya,Longuita,504,442
010508,Amazonas,Luya,Lonya Chico,534,517
010509,Amazonas,Luya,Luya,2009,2144
010510,Amazonas,Luya,Luya Viejo,199,214
010511,Amazonas,Luya,Maria,467,388
010512,Amazonas,Luya,Ocalli,1955,1667
010513,Amazonas,Luya,Ocumal,2045,1736
