UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,HOMBRE,MUJER
010101,Amazonas,Chachapoyas,Chachapoyas,17159,18709
010102,Amazonas,Chachapoyas,Asunción,146,137
010103,Amazonas,Chachapoyas,Balsas,652,581
010104,Amazonas,Chachapoyas,Cheto,339,343
010105,Amazonas,Chachapoyas,Chiliquin,328,300
010106,Amazonas,Chachapoyas,Chuquibamba,1024,955
010107,Amazonas,Chachapoyas,Granada,259,259
010108,Amazonas,Chachapoyas,Huancas,1009,277
010109,Amazonas,Chachapoyas,La Jalca,2099,2154
010110,Amazonas,Chachapoyas,Leimebamba,1984,1887
010111,Amazonas,Chachapoyas,Levanto,421,417
010112,Amazonas,Chachapoyas,Magdalena,447,466
010113,Amazonas,Chachapoyas,Mariscal Castilla,733,721
010114,Amazonas,Chachapoyas,Molinopampa,1148,1187
010115,Amazonas,Chachapoyas,Montevideo,263,265
010116,Amazonas,Chachapoyas,Olleros,217,202
010117,Amazonas,Chachapoyas,Quinjalca,384,444
010118,Amazonas,Chachapoyas,San Francisco de Daguas,164,157
010119,Amazonas,Chachapoyas,San Isidro de Maino,333,280
010120,Amazonas,Chachapoyas,Soloco,700,601
010121,Amazonas,Chachapoyas,Sonche,135,133
010201,Amazonas,Bagua,Bagua,14247,14589
010202,Amazonas,Bagua,Aramango,5498,4989
010203,Amazonas,Bagua,Copallin,2570,2402
010204,Amazonas,Bagua,El Parco,683,610
010205,Amazonas,Bagua,Imaza,14901,14951
010206,Amazonas,Bagua,La Peca,3493,3260
010301,Amazonas,Bongara,Jumbilla,702,683
010302,Amazonas,Bongara,Chisquilla,177,147
010303,Amazonas,Bongara,Churuja,151,146
010304,Amazonas,Bongara,Corosha,406,399
010305,Amazonas,Bongara,Cuispes,336,372
010306,Amazonas,Bongara,Florida,3205,3190
010307,Amazonas,Bongara,Jazan,4078,3981
010308,Amazonas,Bongara,Recta,115,106
010309,Amazonas,Bongara,San Carlos,260,249
010310,Amazonas,Bongara,Shipasbamba,821,793
010311,Amazonas,Bongara,Valera,454,463
010312,Amazonas,Bongara,Yambrasbamba,2914,2937
010401,Amazonas,Condorcanqui,Nieva,10742,10582
010402,Amazonas,Condorcanqui,El Cenepa,5765,5893
010403,Amazonas,Condorcanqui,Rio Santiago,8328,8490
010501,Amazonas,Luya,Lamud,1088,1294
010502,Amazonas,Luya,Camporredondo,3829,3408
010503,Amazonas,Luya,Cocabamba,1120,975
010504,Amazonas,Luya,Colcamar,988,1047
010505,Amazonas,Luya,Conila,985,972
010506,Amazonas,Luya,Inguilpata,266,260
010507,Amazonas,Luya,Longuita,479,422
010508,Amazonas,Luya,Lonya Chico,463,437
010509,Amazonas,Luya,Luya,1985,2171
010510,Amazonas,Luya,Luya Viejo,200,209
010511,Amazonas,Luya,María,423,373
010512,Amazonas,Luya,Ocalli,2059,1843
010513,Amazonas,Luya,Ocumal,2010,1736
010514,Amazonas,Luya,Pisuquia,2790,2385
010515,Amazonas,Luya,Providencia,760,648
010516,Amazonas,Luya,San Cristobal,262,322
010517,Amazonas,Luya,San Francisco del Yeso,393,355
010518,Amazonas,Luya,San Jerónimo,347,335
010519,Amazonas,Luya,San Juan de Lopecancha,236,223
010520,Amazonas,Luya,Santa Catalina,1024,1033
010521,Amazonas,Luya,Santo Tomas,1582,1625
010522,Amazonas,Luya,Tingo,670,678
010523,Amazonas,Luya,Trita,722,708
010601,Amazonas,Rodríguez de Mendoza,San Nicolás,3116,3088
010602,Amazonas,Rodríguez de Mendoza,Chirimoto,1440,1219
010603,Amazonas,Rodríguez de Mendoza,Cochamal,341,283
010604,Amazonas,Rodríguez de Mendoza,Huambo,1434,1367
010605,Amazonas,Rodríguez de Mendoza,Limabamba,1317,1187
010606,Amazonas,Rodríguez de Mendoza,Longar,895,815
010607,Amazonas,Rodríguez de Mendoza,Mariscal Benavides,803,765
010608,Amazonas,Rodríguez de Mendoza,Milpuc,251,218
010609,Amazonas,Rodríguez de Mendoza,Omia,4989,4469
010610,Amazonas,Rodríguez de Mendoza,Santa Rosa,273,266
010611,Amazonas,Rodríguez de Mendoza,Totora,153,142
010612,Amazonas,Rodríguez de Mendoza,Vista Alegre,1728,1571
010701,Amazonas,Utcubamba,Bagua Grande,27954,27810
010702,Amazonas,Utcubamba,Cajaruro,13014,12090
010703,Amazonas,Utcubamba,Cumba,4562,4306
010704,Amazonas,Utcubamba,El Milagro,3427,2959
010705,Amazonas,Utcubamba,Jamalca,3789,3530
